textID,text,selected_text,sentiment,lemma
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,tired,negative,wait for sleep pill to kick in ... go to be so tired at work tomorrow
4c41a35a2a,Happy Mothers day to all you Mums out there,Happy Mothers day to all you Mums out there,positive,Happy Mothers day to all -PRON- mum out there
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",freaked,negative,"  CASEY`S GONE ? ! ? ! but why ? ! so , -PRON- piddle a little on the carpet . She`s prolly freak cause it`s new . Can -PRON- get -PRON- back ?"
447dc22c81, hemp cloth is marvelous but unfortunately no,unfortunately,negative,  hemp cloth be marvelous but unfortunately no
92e1b6846e, We saw that in none 3D - the baddie`s the best,best,positive,  -PRON- see that in none 3d - the baddie`s the good
2207d982bc,4am. And Im on the beach. Pretty,Pretty,positive,4 a.m. . and -PRON- be on the beach . pretty
ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!","horrible,",negative,"1 week post my'horrible , traumatic jumping cholla accident . '-cholla`s next dirty trick : piece be start to emerge from -PRON- hand ! ouch !"
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,busy,negative,i realy want to go out cause -PRON- so nice but everybodys busy
6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,Awesome.,positive,  Awesome .   i`m down in Ocean Beach ( if -PRON- know where that be . ) by the way . ' YourBiggestFan ' I`m a re - al big fan of -PRON- - rs .
40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,thanks,positive,  haha -PRON- do not know how to work blip apart from the obvious ! thank for reblippe -PRON- song   have a nice day * * * *
561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,safe,positive,  have a safe trip joshy poo ....... you`ll knock -PRON- dead at -PRON- speech
a05aea73d7," woof, I wish I was allowed to go",I wish I was allowed to go,positive,"  woof , -PRON- wish -PRON- be allow to go"
d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!","Thank you,",positive,"thank -PRON- , Afrin Nasal Spray ! also , -PRON- get a giant teacup tonight !"
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",I love my,positive,"Aww , -PRON- love -PRON- daddy ! -PRON- work 7 day a week almost all day and still try to go to SF with all of -PRON-"
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,I don`t feel confident,negative,so many test todayyy   -PRON- don`t feel confident about anyy .
401869d615,graduation is done  im a little sad.. anyone want to hang out???,sad.,negative,graduation be do   -PRON- be a little sad .. anyone want to hang out ? ? ?
9843c4688e, hahaa your awesomee !,hahaa your awesomee !,positive,  hahaa -PRON- awesomee !
87fbf14655,holy smokes! star trek was freaking awesomeeeee,awesomeeeee,positive,holy smokes ! star trek be freak awesomeeeee
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",Not looking forward,negative,"not look forward to next week : Maths , Geography , English and french exam , total 7 hour"
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",Poor you,negative,"  poor -PRON-   get outside and sleep in the garden , the sun will do -PRON- good . but don`t forget suncream ! ! !"
f0460d611d,not well,not well,negative,not well
6649f3558c, Not a prob hun,Not a prob,positive,  not a prob hun
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,y adore,positive,  hey mia !   totally adore -PRON- music .   when will -PRON- cd be out ?
29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",good,positive,"shop . cleaning . bmfing . webcam chat with nephew . nothing spesh , but a good bank holiday Monday nonetheless"
974b35f889, =O you need to ask him something? Lmao I love him too,I love him too,positive,  = o -PRON- need to ask -PRON- something ? Lmao -PRON- love -PRON- too
b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,painful.,negative,  those splinter look very painful ... but -PRON- be be very heroic save mr . Pickle
504539e6ec, why are you sad?,sad?,negative,  why be -PRON- sad ?
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,e nice,positive,  Nice to see -PRON- tweet !   it`s Sunday 10th May and we`re celebrate mother`s Day here today . so be nice to yer mom
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,i wish,positive,decide 2 trans frm relax 2 natural hair but i wish -PRON- whole head look like -PRON- root .   Age of the instant gratification ....
cb1b0d191d,"missed all the awesome weather, because she was in a movie!","missed all the awesome weather,",negative,"miss all the awesome weather , because -PRON- be in a movie !"
997a62f83f,"These kids are terrible! If I was in Good Evans, I`d call Childline",terrible!,negative,"these kid be terrible ! if -PRON- be in Good Evans , i`d call Childline"
7e1757d4f0,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!","Unfortunatley,",negative,"Unfortunatley , AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the day !"
254546cd2c," What`s sad is that I actually had to google that term. That sucks, tho.","That sucks, tho.",negative,"  what` sad be that -PRON- actually have to google that term . that suck , tho ."
7e4ed52c4a,Hate fighting,Hate fighting,negative,hate fight
48cdcd5f28,Car-warmed Sprite tastes like sore throat,Car-warmed Sprite tastes like sore throat,negative,car - warm Sprite taste like sore throat
ae71041e21,Candle wax is very enjoyable.,enjoyable.,positive,candle wax be very enjoyable .
11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",endearing-,positive,"  She`s unassuming and unpretentious . She`s just , as . -PRON- suppose that`s why she` so endearing -- because -PRON- can relate to -PRON-"
960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,goooooddd morning tweets!!,positive,goooooddd morning tweet ! !   week three of -PRON- workout . do i mention i get -PRON- new glass yesterday ? ! ?
fd285fe74a, me too. I hate my computer so much..,hate,negative,  -PRON- too . -PRON- hate -PRON- computer so much ..
a5a1c996c0, fine! Going to do my big walk today 20 or so miles,fine!,positive,  fine ! go to do -PRON- big walk today 20 or so mile
20ec7c7c32,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,i don`t like the other ones.,negative,-PRON- want RED cruiser ! !   i don`t like the other one . LMFAO !
5f93cc70ff,Bugger. forgot I still have washing in my machine,Bugger. forgot I still have washing in my machine,negative,Bugger . forget -PRON- still have wash in -PRON- machine
4e6a5c0034,"_Laurie sending love, blessings & healing thoughts to you & family  peace","sending love, blessings & healing thoughts to you & family  peace",positive,"_ Laurie send love , blessing & heal thought to -PRON- & family   peace"
e4e9b8713a,My back hurts...really bad,.really bad,negative,-PRON- back hurt ... really bad
328a0e76bd,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,brutal,negative,-PRON- modem have be offline for a week now ... God bless the 3 g network . Tim just leave ... again ! ! May schedule have be brutal
940eb93dd5, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,boring,negative,  have parent teacher thing yesterday ! ! so bore go to skl on saturday ! !   lol
c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,p sounds like fun,positive,   # lichfield # tweetup sound like fun   hope to see -PRON- and everyone else there !
e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,great,positive,Few Bevvies 2day in twn .. great on a day off ! !
7162d447ab,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,excited,positive,first night in myers . just not the same w / out lydia !   but i`m actually excite about this summer !
f3d95b57b1, good morning,good morning,positive,  good morning
5e4eac2b2e, its the best show EVER!,its the best show EVER!,positive,  -PRON- the good show EVER !
bc02870b7d,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,messed,negative,url in previous post ( to timer job ) should be http://bit.ly/a4fdb . I`d remove space which mess up URL .   ^es
079e4e3472,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,NOT THE SECRET NAMEREBECCA PLEASE,negative,or even NOOOOO not the SECRET NAMEREBECCA PLEASE
557e676fe4, I miss my neice  can`t wait to see her bad n grown ****! Lol,miss,negative,  -PRON- miss -PRON- neice   can`t wait to see -PRON- bad n grown * * * * ! lol
9d3a1e0269,really hopes her car`s illness is not terminal...,illness,negative,really hope -PRON- car`s illness be not terminal ...
417176c08e,who watched X-men origins: wolverine? i totally loved it! haha,i totally loved it!,positive,who watch x - man origin : wolverine ? i totally love -PRON- ! haha
2bf5c7dba7, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,i <3 you. u helped me thru the hrdest time of my life!,positive,  -PRON- vote ! ! ! do u have a personal myspace ? i keep talk to fake    i <3 -PRON- . u help -PRON- thru the hrd time of -PRON- life ! (: x
8407ac30b0, I`m sad that I missed you guys last night!,sad,negative,  i`m sad that -PRON- miss -PRON- guy last night !
24ee55f264,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,sick!,negative,today be the last day of high school for -PRON- and i end up go home sick ! ... stupid dead rat
a0a306868a,lost my tooth 2day whilst i was eating gum...oww,oww,negative,lose -PRON- tooth 2day whilst i be eat gum ... oww
9b11b686ec,happy 1 year! <3,happy 1 year! <3,positive,happy 1 year ! <3
7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",Goooooooooooood Morrrrrrrrning,positive,"oh , -PRON- HELLA forget to say -PRON- official good morning   like to hear -PRON- ? here -PRON- go ! Goooooooooooood Morrrrrrrrning Twitterville ! lol"
3e880ec28d,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,   what about me ? ?   -PRON- vote every day for you ! ! ! ! !
38271074d1,I`m starving!! This diet is killing me but I can`t eat after 8pm,This diet is killing me,negative,I`m starve ! ! this diet be kill -PRON- but -PRON- can`t eat after 8 p.m.
f0db54f5bf,im soo bored...im deffo missing my music channels,bored..,negative,-PRON- be soo bore ... im deffo miss -PRON- music channel
e651d415c6, nite nite bday girl  have fun at concert,e fun,positive,  nite nite bday girl   have fun at concert
a6fccce9db,should be sleeping.  lost my voice a couple day ago.,lost my voice,negative,should be sleep .   lose -PRON- voice a couple day ago .
c017d0c221,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,hate,negative,http://twitpic.com/66xlm -   hate when -PRON- PARKED car get hit
e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,negative,-PRON- am SUCH a CREEPER   -PRON- feel disappointed because of -PRON- . * * * * -PRON- cyberstalking skill    the internet = no more privacy .
01b2476dd7,going to bed its late and I have headache,headache,negative,go to bed -PRON- late and -PRON- have headache
e02cf4af4c,happy mother`s day to all moms out there...,happy,positive,happy mother`s day to all mom out there ...
1b13ed8b4b,im thinking that im going to have fun tonight....and maybe some changes are coming,going to have fun,positive,-PRON- be think that -PRON- be go to have fun tonight .... and maybe some change be come
375e74d063," Haha I know, I cant handle the fame!  and thank you!",d thank you!,positive,"  haha -PRON- know , -PRON- can not handle the fame !   and thank -PRON- !"
e5c6a6bb5a, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,HAHAHA,positive,  yes ! sober HAHAHA tanghale tapat dude ! haha WILD . i don`t knowwww   plan plan   before -PRON- go to US !
4f84bea1cc, We never miss ICarly - my son has a huge crush on Miranda,crush,positive,  -PRON- never miss ICarly - -PRON- son have a huge crush on Miranda
ca832cad51,Feeling smooth like chrome,Feeling smooth,positive,feel smooth like chrome
a8734230b6,Ew traffic,Ew traffic,negative,ew traffic
242d92151a,Walking to class. I hate not having a bike....especially mine.,I hate not having a bike..,negative,walk to class . -PRON- hate not have a bike .... especially -PRON- .
1d6411e9dd,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",This is worse than taxes.,negative,"fail inspection . do -PRON- know -PRON- can pass wo / oven , but not wo / anti - tip bracket , which be only sell w / oven ? this be bad than taxis ."
151c10cc39,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",JONAS BROTHERS - Live to party.                It`s rocking so hard,positive,"JONAS BROTHERS - live to party .                 it`s rock so hard      -PRON- love the song ,"
7b1927e748,happy mother`s day to all the mothers in the world.,happy,positive,happy mother`s day to all the mother in the world .
9a6f4d05d5,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",would love to test it though.,positive,"35mins through the 1hr 20min Google Wave demo , that look a lot of fun , would love to test -PRON- though .   http://bit.ly/WnMSc"
0cb4504f2c,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,Fun night!,positive,Sleepy Tabz be head to bed .   Fun night ! listen through the next episode of Joss`d !
8f3e73cf09,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",I thought Wolverine was awesome.,positive,"screw the review , -PRON- think Wolverine be awesome . but not enough Dominic Monaghan for -PRON- liking ."
c7489a23fa,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",Hopefully,positive,"if -PRON- follow -PRON- recently , PLEASE do not be offend that -PRON- haven`t follow back . -PRON- hit -PRON- limit .    hopefully -PRON- will be free soon ."
ed084a1fa7,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,Happy,positive,Happy monday   up and about go to tavare today . hope everyone have a bless day !
85ec413e54, http://twitpic.com/4jaz5 - Cool... luv it,luv,positive,  http://twitpic.com/4jaz5 - cool ... luv -PRON-
7df7221145,  that`s why I need to be there...To represent the Blackberries,that`s why I need to be there,positive,   that`s why -PRON- need to be there ... to represent the Blackberries
7436ec1a2c," yeah I was thinking about that ,ahaha",",ahaha",positive,"  yeah -PRON- be think about that , ahaha"
ce69e99e71,I`m not sleeping at all until  accepts my appology,I`m not sleeping at all un,negative,I`m not sleep at all until   accept -PRON- appology
6402e14398,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??","Seriously,",negative,"Wolverine be BOSS ! seriously , and Will . i.am be in -PRON- , what the * * * * ? ?"
96a4ce0d47,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,died.,positive,almost die . laptop screen be set to 100 % brightness after -PRON- reinstall Windows Vista . get a headache now   # insanedefault
c5645758be,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",not going to well!,negative,"try to decide on a movie with the friend .. not go to well ! lol :p   no bible study 2nite , which mean * * * * -day cake   buy -PRON- own ? ?"
09ad12cc5c,"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",hopefully,positive,"discover cause of a bug in the new # NetPLAYER 4 build . publishing bug fix now , hopefully new beta by tomorrow"
799f65f193, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,g harmed,negative,  yes -PRON- do . please do not ` go . if -PRON- die -PRON- will cry .. which normally lead to small animal get harm
d06582e26d,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,what an amazing day.,positive,write report card   soooo tired but what an amazing day . check -PRON- out on fb soon !
97334eb7c0,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning","Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,"well good morning all , what a wonderful day in the neighborhood   thank for all those that be now follow another 60 this morning"
e1546f901a,FTSK and Mercy Mercedes were amazing tonight.. as always,were amazing tonight..,positive,FTSK and Mercy Mercedes be amazing tonight .. as always
2ece7f3810,  hope he is ok!,hope,positive,   hope -PRON- be ok !
ba309a37d1,can`t school just be done already? it hurts too much... seeing him every day,it hurts too much...,positive,can`t school just be do already ? -PRON- hurt too much ... see -PRON- every day
dabe649ee3,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",GREAT,positive,"go to a party last night . Dindin and -PRON- show up in match outfit ) great mind think alike ) anyway , happy birthday , eat lara"
2a5bb8d827," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",Happy b-day!,positive,"  Happy b - day ! just wake up on this side of Earth , so wish be bite late"
dbbbbe6059,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",thank,positive,"thank -PRON- for teach -PRON- value and to be a well person each day   -PRON- love so much , YOU`RE the best MUM in the world"
894e188d01,HAPPY MOTHERS DAY.!,HAPPY,positive,HAPPY MOTHERS DAY . !
a91ca2ffae," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",glad,positive,"  * laugh * I`m glad that -PRON- have self confidence - it`s a wonderful trait to have   I`ll applaud extra loud for -PRON- , okay ?"
89d5b3f0b5,  Thanks,Thanks,positive,   thank
1b6380b1b3,Getting ready for week  Its too nice today to be stuck inside working!,Its too nice,positive,get ready for week   -PRON- too nice today to be stick inside work !
02c004bc2d,I am tres depressed,depressed,negative,-PRON- be tre depress
b4d5f1e13e,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",sick.,negative,"feel like * * * * , behave like -PRON- son ; eat to compensate . pig out on home - roast sugar almond . painful tum , throw up , still feel sick ."
80481307d5,Happy Mothers Day people. i love my mom a lot still,Happy Mothers Day people. i love my mom a lot still,positive,Happy Mothers Day people . i love -PRON- mom a lot still
05a0e60f99, I`m sorry to hear that.,sorry,negative,  I`m sorry to hear that .
e3cc598980," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",", he was soooo friendly.",positive,"  that` awesome dude , yay for surprise celebrity !   -PRON- get to meet -PRON- a few year ago , -PRON- be soooo friendly ."
a2cf6cc397," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",happy,positive,"  -PRON- make -PRON- happy to hear a girl talk , or tweet , about the nba . but ... could -PRON- give -PRON- nugget some love ? !"
ba83f744d8,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,-PRON- know -PRON- neck be jack up when -PRON- be force to pay for parking bc -PRON- can`t turn -PRON- head to parallel park in the free space ...
e3a1b65ef3,Going to miss my roomie ... We will no longer be roomies starting tomorrow,miss,negative,go to miss -PRON- roomie ... -PRON- will no longer be roomie start tomorrow
73fa7068a2," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",chocked,negative,"  yep , finish , chock full of spelling and grammatical error , but I`m clean -PRON- up tomorrow and pop -PRON- up   hehe"
59e77db781,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,.it`s gorgeous out!,positive,watch Ellen love -PRON- ! ! then do the dish   and tanning ... it`s gorgeous out !
e3731b6ce8, what`s goin on hun?  I`m worried about you,m worried,negative,  what`s go on hun ?   I`m worried about -PRON-
b09362ee8e, Im not bannished... but I am at work till 6,Im not bannished.,negative,  -PRON- be not bannished ... but -PRON- be at work till 6
7b69f49c42,tonight in party w/ my girls (minus vita),tonight in party w/ my girls (minus vita),positive,tonight in party w/ -PRON- girl ( minus vita )
294df18b9f," I saw the play of it here, it was amazing",amazing,positive,"  -PRON- see the play of -PRON- here , -PRON- be amazing"
